class,bruises,odor,spore_print_color,population,habitat,mushroom_ID,gillID,capID,veilID,stalkID
e,t,a,n,s,m,ebsytafcbkecsswwpwopnsm,fcbk,bsy,pwop,ecssww
p,t,p,n,v,g,pxyntpfcnneesswwpwopnvg,fcnn,xyn,pwop,eessww
e,t,l,n,s,m,ebyytlfcbkecsswwpwopnsm,fcbk,byy,pwop,ecssww
e,t,a,n,n,m,ebywtafcbwecsswwpwopnnm,fcbw,byw,pwop,ecssww
e,t,l,k,s,m,ebswtlfcbgecsswwpwopksm,fcbg,bsw,pwop,ecssww
p,t,p,n,v,g,pfswtpfcnneesswwpwopnvg,fcnn,fsw,pwop,eessww
e,t,a,n,n,m,exyytafcbnecsswwpwopnnm,fcbn,xyy,pwop,ecssww
e,t,l,n,n,m,exywtlfcbwecsswwpwopnnm,fcbw,xyw,pwop,ecssww
e,f,n,k,y,u,effnfnfcnkeesswwpwopkyu,fcnk,ffn,pwop,eessww
e,t,a,n,v,d,exsytafwnntbsswwpwopnvd,fwnn,xsy,pwop,tbssww
e,t,l,n,n,m,ebsytlfcbgecsswwpwopnnm,fcbg,bsy,pwop,ecssww
p,t,p,n,s,u,pxywtpfcnkeesswwpwopnsu,fcnk,xyw,pwop,eessww
e,t,l,n,n,m,exyytlfcbnecsswwpwopnnm,fcbn,xyy,pwop,ecssww
e,t,l,n,y,p,exyntlfcbpersywwpwopnyp,fcbp,xyn,pwop,ersyww
e,t,l,n,s,m,ebyytlfcbnecsswwpwopnsm,fcbn,byy,pwop,ecssww
e,t,l,n,v,d,exfytlfwnwtbsswwpwopnvd,fwnw,xfy,pwop,tbssww
e,f,n,k,v,u,esfgfnfcnkeesswwpwopkvu,fcnk,sfg,pwop,eessww
p,t,p,n,s,u,pxyntpfcnweesswwpwopnsu,fcnw,xyn,pwop,eessww
e,t,a,n,v,d,exfytafwnptbsswwpwopnvd,fwnp,xfy,pwop,tbssww
e,t,l,k,s,m,ebsytlfcbkecsswwpwopksm,fcbk,bsy,pwop,ecssww
e,t,a,n,s,g,ebyytafcbnecsswwpwopnsg,fcbn,byy,pwop,ecssww
e,t,l,k,y,p,exyytlfcbnersywwpwopkyp,fcbn,xyy,pwop,ersyww
e,f,n,k,y,u,exfnfnfcngeesswwpwopkyu,fcng,xfn,pwop,eessww
p,t,p,n,v,g,pxywtpfcnpeesswwpwopnvg,fcnp,xyw,pwop,eessww
e,t,a,k,n,m,exsytafcbwecsswwpwopknm,fcbw,xsy,pwop,ecssww
e,t,a,n,n,g,exywtafcbnecsswwpwopnng,fcbn,xyw,pwop,ecssww
e,t,l,k,s,m,exyytlfcbkecsswwpwopksm,fcbk,xyy,pwop,ecssww
e,t,l,n,n,m,exswtlfcbwecsswwpwopnnm,fcbw,xsw,pwop,ecssww
e,t,l,n,s,p,exyytlfcbnersywwpwopnsp,fcbn,xyy,pwop,ersyww
e,t,l,k,s,p,efyytlfcbwersywwpwopksp,fcbw,fyy,pwop,ersyww
e,t,a,k,s,g,exyntafcbwersywwpwopksg,fcbw,xyn,pwop,ersyww
e,t,l,k,s,g,exswtlfcbkecsswwpwopksg,fcbk,xsw,pwop,ecssww
e,t,l,n,n,m,ebswtlfcbkecsswwpwopnnm,fcbk,bsw,pwop,ecssww
p,t,p,n,v,u,pxyntpfcnkeesswwpwopnvu,fcnk,xyn,pwop,eessww
p,t,p,k,v,u,pxswtpfcnkeesswwpwopkvu,fcnk,xsw,pwop,eessww
e,t,a,k,s,m,ebyytafcbwecsswwpwopksm,fcbw,byy,pwop,ecssww
e,f,n,n,a,g,effgfnfwbntesswwpwoenag,fwbn,ffg,pwoe,tessww
e,t,a,n,n,g,ebswtafcbwecsswwpwopnng,fcbw,bsw,pwop,ecssww
e,t,l,k,n,g,exsytlfcbkecsswwpwopkng,fcbk,xsy,pwop,ecssww
e,t,a,k,y,p,exyntafcbpersywwpwopkyp,fcbp,xyn,pwop,ersyww
e,f,n,n,v,u,esfgfnfcnkeesswwpwopnvu,fcnk,sfg,pwop,eessww
e,t,a,n,s,m,ebyytafcbkecsswwpwopnsm,fcbk,byy,pwop,ecssww
e,t,l,n,s,m,ebsytlfcbgecsswwpwopnsm,fcbg,bsy,pwop,ecssww
e,t,l,n,n,m,ebyytlfcbgecsswwpwopnnm,fcbg,byy,pwop,ecssww
e,t,l,n,s,g,ebywtlfcbnecsswwpwopnsg,fcbn,byw,pwop,ecssww
e,f,n,k,a,g,efsnfnfwbktesswwpwoekag,fwbk,fsn,pwoe,tessww
e,t,l,k,s,g,exswtlfcbnecsswwpwopksg,fcbn,xsw,pwop,ecssww
e,t,a,n,s,g,efyytafcbwersywwpwopnsg,fcbw,fyy,pwop,ersyww
e,t,a,k,n,g,exyytafcbwecsswwpwopkng,fcbw,xyy,pwop,ecssww
e,f,n,n,v,u,exfgfnfcnpeesswwpwopnvu,fcnp,xfg,pwop,eessww
e,t,l,n,v,d,effytlfwnptbsswwpwopnvd,fwnp,ffy,pwop,tbssww
e,t,l,n,s,m,ebywtlfcbgecsswwpwopnsm,fcbg,byw,pwop,ecssww
e,t,l,n,v,d,effytlfwnwtbsswwpwopnvd,fwnw,ffy,pwop,tbssww
e,t,a,k,s,p,exyntafcbpersywwpwopksp,fcbp,xyn,pwop,ersyww
e,t,a,k,s,g,ebsytafcbkecsswwpwopksg,fcbk,bsy,pwop,ecssww
e,t,l,n,v,d,efsytlfwnptbsswwpwopnvd,fwnp,fsy,pwop,tbssww
e,t,l,u,v,d,exswtlfwnntbsswwpwopuvd,fwnn,xsw,pwop,tbssww
e,t,l,n,y,p,efyntlfcbpersywwpwopnyp,fcbp,fyn,pwop,ersyww
p,t,p,n,v,u,pxyntpfcnweesswwpwopnvu,fcnw,xyn,pwop,eessww
e,t,a,n,y,g,efyntafcbnersywwpwopnyg,fcbn,fyn,pwop,ersyww
e,f,n,n,s,g,exsnfnfwbktefswwpwoensg,fwbk,xsn,pwoe,tefsww
p,t,p,k,s,g,pxywtpfcnweesswwpwopksg,fcnw,xyw,pwop,eessww
e,f,n,n,y,u,effgfnfcnneesswwpwopnyu,fcnn,ffg,pwop,eessww
e,f,n,n,s,g,exfgfnfwbntesswwpwoensg,fwbn,xfg,pwoe,tessww
e,t,l,k,s,g,exyytlfcbwersywwpwopksg,fcbw,xyy,pwop,ersyww
e,f,n,k,s,g,exsnfnfwbktesswwpwoeksg,fwbk,xsn,pwoe,tessww
e,t,a,k,s,g,ebswtafcbwecsswwpwopksg,fcbw,bsw,pwop,ecssww
e,t,l,n,s,g,exswtlfcbnecsswwpwopnsg,fcbn,xsw,pwop,ecssww
e,t,l,k,y,g,efyntlfcbwersywwpwopkyg,fcbw,fyn,pwop,ersyww
e,f,n,n,v,u,esfnfnfcnneesswwpwopnvu,fcnn,sfn,pwop,eessww
e,f,n,n,y,u,exfnfnfcnneesswwpwopnyu,fcnn,xfn,pwop,eessww
e,t,l,k,s,g,ebswtlfcbkecsswwpwopksg,fcbk,bsw,pwop,ecssww
e,t,a,k,s,g,exyytafcbgecsswwpwopksg,fcbg,xyy,pwop,ecssww
e,t,l,k,n,m,exyytlfcbgecsswwpwopknm,fcbg,xyy,pwop,ecssww
e,f,n,n,a,g,exsnfnfwbntesswwpwoenag,fwbn,xsn,pwoe,tessww
e,t,a,n,s,g,exswtafcbgecsswwpwopnsg,fcbg,xsw,pwop,ecssww
e,t,l,n,s,g,efyntlfcbpersywwpwopnsg,fcbp,fyn,pwop,ersyww
e,t,a,k,n,g,exsytafcbnecsswwpwopkng,fcbn,xsy,pwop,ecssww
e,t,a,n,s,g,ebswtafcbgecsswwpwopnsg,fcbg,bsw,pwop,ecssww
e,t,a,k,s,g,exywtafcbgecsswwpwopksg,fcbg,xyw,pwop,ecssww
e,f,n,k,s,g,exfnfnfwbptefswwpwoeksg,fwbp,xfn,pwoe,tefsww
e,t,l,k,n,g,ebsytlfcbnecsswwpwopkng,fcbn,bsy,pwop,ecssww
e,t,l,n,s,g,efyytlfcbwersywwpwopnsg,fcbw,fyy,pwop,ersyww
e,t,a,k,y,p,exyytafcbnersywwpwopkyp,fcbn,xyy,pwop,ersyww
e,t,l,n,n,g,ebywtlfcbgecsswwpwopnng,fcbg,byw,pwop,ecssww
e,t,a,k,n,m,exyytafcbnecsswwpwopknm,fcbn,xyy,pwop,ecssww
e,t,a,n,y,g,exyytafcbwersywwpwopnyg,fcbw,xyy,pwop,ersyww
e,t,l,k,s,m,ebywtlfcbnecsswwpwopksm,fcbn,byw,pwop,ecssww
e,t,a,n,s,m,ebywtafcbgecsswwpwopnsm,fcbg,byw,pwop,ecssww
e,t,a,k,n,m,exsytafcbkecsswwpwopknm,fcbk,xsy,pwop,ecssww
e,t,l,k,n,g,exsytlfcbwecsswwpwopkng,fcbw,xsy,pwop,ecssww
e,f,n,k,y,u,esfgfnfcngeesswwpwopkyu,fcng,sfg,pwop,eessww
e,t,a,u,v,d,exfwtafwnwtbsswwpwopuvd,fwnw,xfw,pwop,tbssww
e,t,a,k,n,m,exsytafcbnecsswwpwopknm,fcbn,xsy,pwop,ecssww
p,t,p,n,v,u,pxywtpfcnneesswwpwopnvu,fcnn,xyw,pwop,eessww
e,t,l,n,s,g,exyytlfcbpersywwpwopnsg,fcbp,xyy,pwop,ersyww
e,f,n,n,y,u,esfgfnfcnpeesswwpwopnyu,fcnp,sfg,pwop,eessww
e,t,l,k,y,g,exyytlfcbwersywwpwopkyg,fcbw,xyy,pwop,ersyww
e,t,l,u,v,d,exsytlfwnptbsswwpwopuvd,fwnp,xsy,pwop,tbssww
e,f,n,n,y,u,esfnfnfcnkeesswwpwopnyu,fcnk,sfn,pwop,eessww
p,t,p,k,v,g,pxswtpfcnkeesswwpwopkvg,fcnk,xsw,pwop,eessww
e,t,a,n,n,m,exywtafcbgecsswwpwopnnm,fcbg,xyw,pwop,ecssww
p,t,p,k,v,g,pfyntpfcnpeesswwpwopkvg,fcnp,fyn,pwop,eessww
e,f,n,n,a,g,efsgfnfwbktesswwpwoenag,fwbk,fsg,pwoe,tessww
e,t,l,n,s,m,exsytlfcbgecsswwpwopnsm,fcbg,xsy,pwop,ecssww
e,f,n,k,s,g,exswfnfwbntesfwwpwoeksg,fwbn,xsw,pwoe,tesfww
e,t,a,n,n,g,ebsytafcbwecsswwpwopnng,fcbw,bsy,pwop,ecssww
e,f,n,n,a,g,effgfnfwbhtesswwpwoenag,fwbh,ffg,pwoe,tessww
e,t,l,k,n,g,exswtlfcbnecsswwpwopkng,fcbn,xsw,pwop,ecssww
e,t,l,n,s,m,ebswtlfcbnecsswwpwopnsm,fcbn,bsw,pwop,ecssww
e,t,l,n,s,g,ebswtlfcbwecsswwpwopnsg,fcbw,bsw,pwop,ecssww
e,t,l,n,s,m,ebywtlfcbwecsswwpwopnsm,fcbw,byw,pwop,ecssww
e,t,l,u,v,d,efswtlfwnwtbsswwpwopuvd,fwnw,fsw,pwop,tbssww
e,t,l,k,s,m,exyytlfcbgecsswwpwopksm,fcbg,xyy,pwop,ecssww
e,t,a,n,v,d,efswtafwnptbsswwpwopnvd,fwnp,fsw,pwop,tbssww
p,t,p,n,v,u,pxywtpfcnweesswwpwopnvu,fcnw,xyw,pwop,eessww
e,t,l,n,v,d,effwtlfwnwtbsswwpwopnvd,fwnw,ffw,pwop,tbssww
e,t,a,n,s,g,exyytafcbnecsswwpwopnsg,fcbn,xyy,pwop,ecssww
p,t,p,n,v,g,pxsntpfcnpeesswwpwopnvg,fcnp,xsn,pwop,eessww
e,t,l,n,n,g,ebsytlfcbwecsswwpwopnng,fcbw,bsy,pwop,ecssww
e,t,a,k,y,p,exyntafcbwersywwpwopkyp,fcbw,xyn,pwop,ersyww
e,t,l,k,n,m,ebyytlfcbgecsswwpwopknm,fcbg,byy,pwop,ecssww
e,f,n,n,v,u,esfnfnfcnkeesswwpwopnvu,fcnk,sfn,pwop,eessww
e,t,a,k,y,p,efyntafcbwersywwpwopkyp,fcbw,fyn,pwop,ersyww
e,t,a,k,n,g,exyytafcbkecsswwpwopkng,fcbk,xyy,pwop,ecssww
e,f,n,k,s,g,exfgfnfwbkteffwwpwoeksg,fwbk,xfg,pwoe,teffww
e,f,n,n,a,g,effwfnfwbktesfwwpwoenag,fwbk,ffw,pwoe,tesfww
e,t,l,n,n,m,exyytlfcbwecsswwpwopnnm,fcbw,xyy,pwop,ecssww
e,t,l,k,n,g,ebsytlfcbkecsswwpwopkng,fcbk,bsy,pwop,ecssww
e,t,a,k,n,m,ebywtafcbgecsswwpwopknm,fcbg,byw,pwop,ecssww
e,t,a,n,s,g,exywtafcbwecsswwpwopnsg,fcbw,xyw,pwop,ecssww
e,f,n,n,a,g,exsnfnfwbptefswwpwoenag,fwbp,xsn,pwoe,tefsww
e,t,l,n,s,g,exywtlfcbgecsswwpwopnsg,fcbg,xyw,pwop,ecssww
e,f,n,k,v,u,esfnfnfcnkeesswwpwopkvu,fcnk,sfn,pwop,eessww
e,t,a,u,v,d,exswtafwnwtbsswwpwopuvd,fwnw,xsw,pwop,tbssww
e,t,l,k,s,g,exyntlfcbwersywwpwopksg,fcbw,xyn,pwop,ersyww
e,t,a,n,n,g,ebyytafcbkecsswwpwopnng,fcbk,byy,pwop,ecssww
e,t,a,n,n,g,exywtafcbkecsswwpwopnng,fcbk,xyw,pwop,ecssww
e,t,a,k,s,m,ebywtafcbnecsswwpwopksm,fcbn,byw,pwop,ecssww
e,t,a,k,s,g,ebsytafcbgecsswwpwopksg,fcbg,bsy,pwop,ecssww
e,t,l,k,s,m,ebsytlfcbgecsswwpwopksm,fcbg,bsy,pwop,ecssww
e,t,a,k,n,g,ebyytafcbnecsswwpwopkng,fcbn,byy,pwop,ecssww
e,f,n,n,y,u,exfnfnfcnkeesswwpwopnyu,fcnk,xfn,pwop,eessww
e,t,l,n,y,g,efyntlfcbnersywwpwopnyg,fcbn,fyn,pwop,ersyww
e,t,a,n,s,g,exywtafcbkecsswwpwopnsg,fcbk,xyw,pwop,ecssww
e,t,l,n,y,p,efyytlfcbwersywwpwopnyp,fcbw,fyy,pwop,ersyww
e,t,a,n,s,g,ebswtafcbwecsswwpwopnsg,fcbw,bsw,pwop,ecssww
e,t,a,k,s,m,ebswtafcbwecsswwpwopksm,fcbw,bsw,pwop,ecssww
e,t,l,k,y,g,exyntlfcbwersywwpwopkyg,fcbw,xyn,pwop,ersyww
e,t,a,k,s,g,ebswtafcbkecsswwpwopksg,fcbk,bsw,pwop,ecssww
e,f,n,n,y,u,exfgfnfcngeesswwpwopnyu,fcng,xfg,pwop,eessww
e,t,l,n,s,g,ebsytlfcbkecsswwpwopnsg,fcbk,bsy,pwop,ecssww
e,t,l,u,v,d,exfytlfwnntbsswwpwopuvd,fwnn,xfy,pwop,tbssww
e,t,a,k,s,g,ebyytafcbwecsswwpwopksg,fcbw,byy,pwop,ecssww
e,t,l,n,s,g,efyytlfcbpersywwpwopnsg,fcbp,fyy,pwop,ersyww
e,t,l,k,n,m,ebywtlfcbwecsswwpwopknm,fcbw,byw,pwop,ecssww
e,t,a,k,n,m,ebywtafcbkecsswwpwopknm,fcbk,byw,pwop,ecssww
e,t,a,n,s,g,ebyytafcbgecsswwpwopnsg,fcbg,byy,pwop,ecssww
e,t,l,n,n,m,exyytlfcbgecsswwpwopnnm,fcbg,xyy,pwop,ecssww
e,t,l,n,n,g,ebsytlfcbgecsswwpwopnng,fcbg,bsy,pwop,ecssww
p,t,p,n,v,u,pxywtpfcnpeesswwpwopnvu,fcnp,xyw,pwop,eessww
e,f,n,n,y,u,esfnfnfcngeesswwpwopnyu,fcng,sfn,pwop,eessww
e,f,n,k,v,u,effnfnfcngeesswwpwopkvu,fcng,ffn,pwop,eessww
e,t,a,n,s,m,exsytafcbgecsswwpwopnsm,fcbg,xsy,pwop,ecssww
e,t,a,k,s,p,efyntafcbpersywwpwopksp,fcbp,fyn,pwop,ersyww
p,t,p,k,s,g,pxywtpfcnkeesswwpwopksg,fcnk,xyw,pwop,eessww
e,t,l,n,s,m,ebswtlfcbgecsswwpwopnsm,fcbg,bsw,pwop,ecssww
e,f,n,k,v,u,effgfnfcnpeesswwpwopkvu,fcnp,ffg,pwop,eessww
e,t,l,n,n,g,ebyytlfcbgecsswwpwopnng,fcbg,byy,pwop,ecssww
e,t,a,n,y,p,exyntafcbwersywwpwopnyp,fcbw,xyn,pwop,ersyww
e,f,n,k,s,g,exfwfnfwbptesfwwpwoeksg,fwbp,xfw,pwoe,tesfww
e,t,l,n,v,d,exswtlfwnwtbsswwpwopnvd,fwnw,xsw,pwop,tbssww
e,t,l,n,s,m,ebswtlfcbwecsswwpwopnsm,fcbw,bsw,pwop,ecssww
e,t,a,n,v,d,efsytafwnwtbsswwpwopnvd,fwnw,fsy,pwop,tbssww
e,t,a,n,n,m,exsytafcbkecsswwpwopnnm,fcbk,xsy,pwop,ecssww
e,f,n,n,y,u,effgfnfcngeesswwpwopnyu,fcng,ffg,pwop,eessww
e,t,a,k,s,g,ebsytafcbnecsswwpwopksg,fcbn,bsy,pwop,ecssww
e,t,l,n,n,m,exswtlfcbgecsswwpwopnnm,fcbg,xsw,pwop,ecssww
e,t,l,n,s,m,exywtlfcbnecsswwpwopnsm,fcbn,xyw,pwop,ecssww
e,t,a,n,v,d,efswtafwnntbsswwpwopnvd,fwnn,fsw,pwop,tbssww
e,t,l,n,s,g,exyytlfcbwecsswwpwopnsg,fcbw,xyy,pwop,ecssww
e,t,l,k,s,g,ebswtlfcbwecsswwpwopksg,fcbw,bsw,pwop,ecssww
e,t,a,k,n,g,exswtafcbgecsswwpwopkng,fcbg,xsw,pwop,ecssww
e,f,n,k,s,g,exfwfnfwbhtefswwpwoeksg,fwbh,xfw,pwoe,tefsww
e,t,l,k,y,p,efyntlfcbnersywwpwopkyp,fcbn,fyn,pwop,ersyww
p,t,p,n,v,u,pxswtpfcnkeesswwpwopnvu,fcnk,xsw,pwop,eessww
e,t,a,n,n,g,ebswtafcbnecsswwpwopnng,fcbn,bsw,pwop,ecssww
e,t,a,k,s,m,ebswtafcbkecsswwpwopksm,fcbk,bsw,pwop,ecssww
e,t,l,n,n,g,ebywtlfcbnecsswwpwopnng,fcbn,byw,pwop,ecssww
e,t,a,k,n,g,ebywtafcbwecsswwpwopkng,fcbw,byw,pwop,ecssww
e,t,a,k,s,g,exsytafcbwecsswwpwopksg,fcbw,xsy,pwop,ecssww
e,t,l,k,n,m,ebswtlfcbwecsswwpwopknm,fcbw,bsw,pwop,ecssww
e,t,a,n,v,d,exfytafwnntbsswwpwopnvd,fwnn,xfy,pwop,tbssww
e,f,n,n,y,u,exfgfnfcnneesswwpwopnyu,fcnn,xfg,pwop,eessww
e,t,a,n,s,g,efyytafcbnersywwpwopnsg,fcbn,fyy,pwop,ersyww
e,t,l,k,n,m,ebswtlfcbnecsswwpwopknm,fcbn,bsw,pwop,ecssww
e,t,a,k,s,g,exsytafcbgecsswwpwopksg,fcbg,xsy,pwop,ecssww
e,t,a,k,s,g,exyytafcbkecsswwpwopksg,fcbk,xyy,pwop,ecssww
e,t,l,n,s,g,exywtlfcbwecsswwpwopnsg,fcbw,xyw,pwop,ecssww
e,f,n,n,v,u,esfgfnfcnpeesswwpwopnvu,fcnp,sfg,pwop,eessww
e,t,a,n,n,m,exswtafcbnecsswwpwopnnm,fcbn,xsw,pwop,ecssww
p,t,p,k,s,g,pxswtpfcnkeesswwpwopksg,fcnk,xsw,pwop,eessww
e,t,a,n,s,g,exyytafcbnersywwpwopnsg,fcbn,xyy,pwop,ersyww
e,t,a,n,v,d,effwtafwnptbsswwpwopnvd,fwnp,ffw,pwop,tbssww
e,t,l,k,n,m,exywtlfcbgecsswwpwopknm,fcbg,xyw,pwop,ecssww
e,t,l,k,s,g,ebywtlfcbnecsswwpwopksg,fcbn,byw,pwop,ecssww
e,t,a,n,n,g,exswtafcbgecsswwpwopnng,fcbg,xsw,pwop,ecssww
e,t,a,n,s,g,exsytafcbgecsswwpwopnsg,fcbg,xsy,pwop,ecssww
p,t,p,k,v,u,pxyntpfcnpeesswwpwopkvu,fcnp,xyn,pwop,eessww
e,t,a,n,n,g,ebsytafcbnecsswwpwopnng,fcbn,bsy,pwop,ecssww
e,f,n,k,y,u,exfgfnfcnneesswwpwopkyu,fcnn,xfg,pwop,eessww
p,t,p,k,s,u,pxywtpfcnkeesswwpwopksu,fcnk,xyw,pwop,eessww
e,t,l,n,y,p,exyytlfcbnersywwpwopnyp,fcbn,xyy,pwop,ersyww
e,f,n,k,v,u,effnfnfcnkeesswwpwopkvu,fcnk,ffn,pwop,eessww
e,t,l,n,n,g,ebswtlfcbkecsswwpwopnng,fcbk,bsw,pwop,ecssww
e,t,l,n,v,d,exfwtlfwnwtbsswwpwopnvd,fwnw,xfw,pwop,tbssww
e,t,l,k,s,g,exywtlfcbwecsswwpwopksg,fcbw,xyw,pwop,ecssww
e,t,l,n,s,g,ebyytlfcbnecsswwpwopnsg,fcbn,byy,pwop,ecssww
e,t,l,k,s,g,exyytlfcbnersywwpwopksg,fcbn,xyy,pwop,ersyww
e,t,a,k,s,p,efyytafcbpersywwpwopksp,fcbp,fyy,pwop,ersyww
e,t,a,k,y,p,efyytafcbwersywwpwopkyp,fcbw,fyy,pwop,ersyww
e,t,l,k,s,g,exswtlfcbwecsswwpwopksg,fcbw,xsw,pwop,ecssww
e,t,a,n,n,m,exswtafcbwecsswwpwopnnm,fcbw,xsw,pwop,ecssww
p,t,p,k,v,u,pxswtpfcnneesswwpwopkvu,fcnn,xsw,pwop,eessww
e,t,a,u,v,d,effwtafwnptbsswwpwopuvd,fwnp,ffw,pwop,tbssww
e,t,l,n,s,g,exswtlfcbwecsswwpwopnsg,fcbw,xsw,pwop,ecssww
e,t,l,u,v,d,exswtlfwnptbsswwpwopuvd,fwnp,xsw,pwop,tbssww
e,t,a,k,s,m,exywtafcbnecsswwpwopksm,fcbn,xyw,pwop,ecssww
e,t,l,k,y,p,efyytlfcbwersywwpwopkyp,fcbw,fyy,pwop,ersyww
e,f,n,k,s,g,exsnfnfwbptefswwpwoeksg,fwbp,xsn,pwoe,tefsww
e,t,a,n,y,g,efyytafcbwersywwpwopnyg,fcbw,fyy,pwop,ersyww
p,t,p,n,s,g,pxsntpfcnpeesswwpwopnsg,fcnp,xsn,pwop,eessww
e,f,n,n,v,u,esfnfnfcngeesswwpwopnvu,fcng,sfn,pwop,eessww
e,t,l,n,s,m,ebyytlfcbwecsswwpwopnsm,fcbw,byy,pwop,ecssww
e,t,l,n,s,g,ebswtlfcbnecsswwpwopnsg,fcbn,bsw,pwop,ecssww
e,t,l,n,n,m,ebywtlfcbkecsswwpwopnnm,fcbk,byw,pwop,ecssww
e,f,n,n,v,u,effnfnfcnkeesswwpwopnvu,fcnk,ffn,pwop,eessww
e,t,a,k,n,m,exswtafcbwecsswwpwopknm,fcbw,xsw,pwop,ecssww
e,t,l,k,n,g,ebywtlfcbgecsswwpwopkng,fcbg,byw,pwop,ecssww
e,t,a,n,n,m,ebywtafcbgecsswwpwopnnm,fcbg,byw,pwop,ecssww
e,t,l,n,s,g,efyntlfcbwersywwpwopnsg,fcbw,fyn,pwop,ersyww
p,t,p,k,v,g,pxywtpfcnkeesswwpwopkvg,fcnk,xyw,pwop,eessww
e,t,a,n,n,g,exswtafcbnecsswwpwopnng,fcbn,xsw,pwop,ecssww
e,t,a,n,s,m,exywtafcbnecsswwpwopnsm,fcbn,xyw,pwop,ecssww
e,t,l,u,v,d,effwtlfwnwtbsswwpwopuvd,fwnw,ffw,pwop,tbssww
e,f,n,k,v,u,effgfnfcngeesswwpwopkvu,fcng,ffg,pwop,eessww
e,f,n,k,a,g,efsgfnfwbptesswwpwoekag,fwbp,fsg,pwoe,tessww
e,t,a,n,s,m,exyytafcbgecsswwpwopnsm,fcbg,xyy,pwop,ecssww
e,t,a,n,s,m,ebswtafcbkecsswwpwopnsm,fcbk,bsw,pwop,ecssww
p,t,p,k,s,u,pfyntpfcnweesswwpwopksu,fcnw,fyn,pwop,eessww
e,t,l,k,n,m,exswtlfcbnecsswwpwopknm,fcbn,xsw,pwop,ecssww
p,t,p,k,v,u,pfsntpfcnweesswwpwopkvu,fcnw,fsn,pwop,eessww
e,t,l,n,s,g,exywtlfcbkecsswwpwopnsg,fcbk,xyw,pwop,ecssww
e,t,a,n,n,m,exyytafcbkecsswwpwopnnm,fcbk,xyy,pwop,ecssww
e,t,a,n,s,p,efyytafcbnersywwpwopnsp,fcbn,fyy,pwop,ersyww
e,t,a,n,s,p,exyntafcbwersywwpwopnsp,fcbw,xyn,pwop,ersyww
e,t,a,n,y,g,efyntafcbwersywwpwopnyg,fcbw,fyn,pwop,ersyww
e,t,a,n,n,m,exywtafcbwecsswwpwopnnm,fcbw,xyw,pwop,ecssww
e,f,n,k,s,g,effnfnfwbhtesswwpwoeksg,fwbh,ffn,pwoe,tessww
e,t,l,n,n,m,exsytlfcbkecsswwpwopnnm,fcbk,xsy,pwop,ecssww
p,t,p,n,s,g,pxywtpfcnweesswwpwopnsg,fcnw,xyw,pwop,eessww
e,t,a,n,n,m,ebyytafcbnecsswwpwopnnm,fcbn,byy,pwop,ecssww
e,f,n,n,v,u,esfnfnfcnpeesswwpwopnvu,fcnp,sfn,pwop,eessww
e,t,l,k,s,m,exsytlfcbkecsswwpwopksm,fcbk,xsy,pwop,ecssww
e,t,l,k,n,m,ebywtlfcbnecsswwpwopknm,fcbn,byw,pwop,ecssww
e,t,a,k,s,g,efyntafcbnersywwpwopksg,fcbn,fyn,pwop,ersyww
e,t,a,k,s,m,ebyytafcbgecsswwpwopksm,fcbg,byy,pwop,ecssww
e,t,a,k,s,g,ebywtafcbgecsswwpwopksg,fcbg,byw,pwop,ecssww
